country	CG	SC	ES	EQ	HS	HO	IW	JE	SW	PS	WL	numResponses
COD	0.04854368932038835	0.07766990291262135	0.08737864077669903	0.06796116504854369	0.08737864077669903	0.12135922330097088	0.1262135922330097	0.08737864077669903	0.10194174757281553	0.09223300970873786	0.10194174757281553	8
DNK	0.07444286391654813	0.08108108108108109	0.10111427216690375	0.09394262683736368	0.10206258890469416	0.08445945945945946	0.08048838311996206	0.08848980559506875	0.10935277382645804	0.0905642484589853	0.09400189663347558	469
DJI	0.11363636363636363	0.09090909090909091	0.09090909090909091	0.09090909090909091	0.09090909090909091	0.06818181818181818	0.045454545454545456	0.06818181818181818	0.11363636363636363	0.11363636363636363	0.11363636363636363	1
DMA	0.075	0.125	0.075	0.125	0.125	0.125	0.05	0.05	0.125	0.05	0.075	2
DOM	0.07441655658300309	0.08234258036107442	0.09995596653456627	0.09026860413914575	0.10523998238661382	0.08234258036107442	0.0845442536327609	0.08718626155878467	0.10127697049757815	0.09907529722589167	0.09335094671950682	64
ECU	0.06638755980861244	0.0798444976076555	0.10316985645933015	0.08851674641148326	0.10316985645933015	0.090311004784689	0.08881578947368421	0.09180622009569378	0.09389952153110048	0.10047846889952153	0.09360047846889952	96
EGY	0.07351351351351351	0.07891891891891892	0.09945945945945946	0.09405405405405405	0.1009009009009009	0.09153153153153153	0.09081081081081081	0.08540540540540541	0.09837837837837837	0.09585585585585586	0.09117117117117117	76
SLV	0.06671779141104295	0.08128834355828221	0.10659509202453987	0.0897239263803681	0.0950920245398773	0.09432515337423313	0.09355828220858896	0.09279141104294479	0.09279141104294479	0.09279141104294479	0.09432515337423313	34
ERI	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.08333333333333333	0.041666666666666664	0.20833333333333334	0.08333333333333333	0.08333333333333333	2
EST	0.06827557755775578	0.07632013201320131	0.09735973597359736	0.09694719471947194	0.10231023102310231	0.09653465346534654	0.09179042904290428	0.0889026402640264	0.0983910891089109	0.09818481848184818	0.08498349834983498	144
ETH	0.0737913486005089	0.09414758269720101	0.0916030534351145	0.08396946564885496	0.09923664122137404	0.09923664122137404	0.09923664122137404	0.10432569974554708	0.08142493638676845	0.089058524173028	0.08396946564885496	11
EU	0.07289455060155697	0.07643312101910828	0.10261854210898796	0.10544939844302902	0.1040339702760085	0.0927105449398443	0.0799716914366596	0.09129511677282377	0.10332625619249823	0.07572540693559802	0.09554140127388536	40
FRO	0.06206896551724138	0.1103448275862069	0.08275862068965517	0.08275862068965517	0.1310344827586207	0.09655172413793103	0.07586206896551724	0.07586206896551724	0.12413793103448276	0.09655172413793103	0.06206896551724138	4
FJI	0.058394160583941604	0.06934306569343066	0.0948905109489051	0.0948905109489051	0.10583941605839416	0.09854014598540146	0.08759124087591241	0.10583941605839416	0.09854014598540146	0.0948905109489051	0.09124087591240876	6
FIN	0.07085631731021802	0.08096926713947991	0.10047281323877069	0.09929078014184398	0.1024428684003152	0.08635408458103494	0.0797872340425532	0.08655109009718939	0.10401891252955082	0.097123719464145	0.09213291305489887	414
MKD	0.06988847583643122	0.08327137546468401	0.09219330855018587	0.09368029739776952	0.10037174721189591	0.07881040892193308	0.09368029739776952	0.09739776951672863	0.09888475836431226	0.09219330855018587	0.09962825278810408	38
FRA	0.06419630018753653	0.08719552207229658	0.09796004718892423	0.09233753706804743	0.10670936140763557	0.09292919151316521	0.08609468622592593	0.09115781396232775	0.09971349581718236	0.08811706869287397	0.09358897586408442	7754
GUF	0.06936416184971098	0.09248554913294797	0.09826589595375723	0.10404624277456648	0.10982658959537572	0.07514450867052024	0.07514450867052024	0.09826589595375723	0.10404624277456648	0.07514450867052024	0.09826589595375723	5
GAB	0.06147540983606557	0.05327868852459016	0.0942622950819672	0.10245901639344263	0.12704918032786885	0.09836065573770492	0.08196721311475409	0.0860655737704918	0.09836065573770492	0.10655737704918032	0.09016393442622951	8
GMB	0.06	0.08	0.2	0.06	0.1	0.08	0.06	0.1	0.08	0.1	0.08	2
GEO	0.08146399055489964	0.09208972845336481	0.09445100354191263	0.09090909090909091	0.09327036599763873	0.09327036599763873	0.09445100354191263	0.09090909090909091	0.09445100354191263	0.089728453364817	0.08500590318772137	27
DEU	0.06804979645039719	0.08133010928393988	0.10006045092612707	0.09289134890574378	0.10590718893748052	0.08910844329419766	0.08398900548781063	0.08789942477165608	0.10676672554334993	0.09085585287755854	0.09314165352173873	5840
GHA	0.07561436672967864	0.08695652173913043	0.08695652173913043	0.0888468809073724	0.0945179584120983	0.09262759924385633	0.08695652173913043	0.09262759924385633	0.1001890359168242	0.09829867674858223	0.09640831758034027	14
GIB	0.07692307692307693	0.0641025641025641	0.08974358974358974	0.0641025641025641	0.1282051282051282	0.08974358974358974	0.10256410256410256	0.10256410256410256	0.08974358974358974	0.08974358974358974	0.10256410256410256	2
GRC	0.06836405720426553	0.07977184425890717	0.09837149706538811	0.09308092915598909	0.10440605108704637	0.08655038439282467	0.09250227329089857	0.09299826403240473	0.1016781020087625	0.09134496156071753	0.09093163594279574	334
GRL	0.07317073170731707	0.036585365853658534	0.12195121951219512	0.12195121951219512	0.12195121951219512	0.10975609756097561	0.10975609756097561	0.12195121951219512	0.024390243902439025	0.12195121951219512	0.036585365853658534	2
GRD	0.0975609756097561	0.12195121951219512	0.08536585365853659	0.0975609756097561	0.0975609756097561	0.08536585365853659	0.06097560975609756	0.08536585365853659	0.10975609756097561	0.04878048780487805	0.10975609756097561	2
GTM	0.06184428492545555	0.07399226946438432	0.10325786858089453	0.09221424627277747	0.097736057426836	0.08724461623412479	0.09000552181115405	0.0966316951960243	0.10104914411927111	0.09552733296521258	0.10049696300386526	53
GGY	0.0663265306122449	0.09693877551020408	0.09183673469387756	0.07142857142857142	0.11224489795918367	0.08163265306122448	0.08673469387755102	0.10204081632653061	0.11224489795918367	0.08673469387755102	0.09183673469387756	5
GIN	0.061224489795918366	0.061224489795918366	0.10204081632653061	0.08163265306122448	0.10204081632653061	0.08163265306122448	0.09183673469387756	0.10204081632653061	0.05102040816326531	0.14285714285714285	0.12244897959183673	3
GUY	0.08823529411764706	0.08088235294117647	0.08823529411764706	0.09558823529411764	0.11029411764705882	0.11029411764705882	0.08088235294117647	0.0661764705882353	0.08088235294117647	0.09558823529411764	0.10294117647058823	4
HTI	0.06735751295336788	0.08290155440414508	0.09067357512953368	0.08290155440414508	0.11398963730569948	0.09844559585492228	0.09067357512953368	0.09844559585492228	0.08549222797927461	0.09844559585492228	0.09067357512953368	11
HND	0.0755608028335301	0.08382526564344746	0.1050767414403778	0.089728453364817	0.09799291617473435	0.0885478158205431	0.09090909090909091	0.09208972845336481	0.09681227863046045	0.09563164108618655	0.08382526564344746	22
HKG	0.06541499031440919	0.07986887200119207	0.0925346446133214	0.09447176277752943	0.1034123081507972	0.09342869915064819	0.0925346446133214	0.08582923558337059	0.10058113544926241	0.10147518998658918	0.09044851735955893	186
HUN	0.06442211492452912	0.08551916133803124	0.0969594153725695	0.0928705032841794	0.09856888076906346	0.09278350515463918	0.08721562486406542	0.0865196398277437	0.10261429379268346	0.09861237983383357	0.09391448083866197	685
ISL	0.06863002892453327	0.08466999737049698	0.09597686037338943	0.0875624506968183	0.1046542203523534	0.088088351301604	0.08835130160399685	0.09334735734946095	0.0991322640021036	0.09992111490928214	0.08966605311596108	100
IND	0.07208201167655036	0.07815014021054567	0.09598676044683492	0.0905622213028088	0.09764170459247	0.08697650898726612	0.09575690709327449	0.09276881349698893	0.10191697696869398	0.09557302441042614	0.09258493081414058	601
